;accumulated_codon_frequencies;padj;log2FoldChange.shrunk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HMGN5;0.374558304;;;;;16690;FALSE;High;Master Protein;P42771;Cyclin-dependent kinase inhibitor 2A OS=Homo sapiens OX=9606 GN=CDKN2A PE=1 SV=2;8;1;1;1;CDKN2A;0;FALSE;;6.887;156;16.5;5.81;5;1;;1029;ENSG00000147889;"A5X2G7; D3DRK1; G3XAG3; hsa:1029; O95440; P42771; Q15191; Q5VVJ5; Q96B52; Q9NP05";"Endocrine resistance; Platinum drug resistance; Cell cycle; p53 signaling pathway; Cellular senescence; Cushing syndrome; Human cytomegalovirus infection; Human T-cell leukemia virus 1 infection; Pathways in cancer; Viral carcinogenesis; MicroRNAs in cancer; Pancreatic cancer; Glioma; Melanoma; Bladder cancer; Chronic myeloid leukemia; Non-small cell lung cancer; Hepatocellular carcinoma";"TP53 network; Cell cycle; Glioblastoma signaling pathways; Apoptosis; Bladder cancer; Vitamin D receptor pathway; Tumor suppressor activity of SMARCB1; Non-small cell lung cancer; Pancreatic adenocarcinoma pathway; G1 to S cell cycle control; Fragile X syndrome; Gastrin signaling pathway; Head and neck squamous cell carcinoma; Melanoma; Malignant pleural mesothelioma; TROP2 regulatory signaling";"Cyclin D associated events in G1; Oxidative Stress Induced Senescence; Oncogene Induced Senescence; Senescence-Associated Secretory Phenotype (SASP); Transcriptional Regulation by VENTX; Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4; Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6; Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4; Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6";43;0;6.491;F
SREK1IP1;0.326923077;;;;;16529;FALSE;High;Master Protein;O95571;Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2;28;8;5;5;ETHE1;0;FALSE;;31.342;254;27.9;6.83;26.5;5;Pf00753;23474;ENSG00000105755;"hsa:23474; O95571; Q96HR0; Q9H001";"Sulfur metabolism; Metabolic pathways";;Sulfide oxidation to sulfate;3;0;3.323;1.73
MNS1;0.320564516;;;;;;FALSE;High;None;P02765;Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2;7;7;4;4;AHSG;0;TRUE;;16.302;367;39.3;5.72;21.56;4;Pf00031;197;ENSG00000145192;"A8K9N6; B2R7G1; hsa:197; O14961; O14962; P02765; Q9P152";;;"Neutrophil degranulation; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation";4;0;3.091;1.63
NEXN;0.319526627;;;;;10118;FALSE;High;Master Protein;P00966;Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2;42;30;14;14;ASS1;0;FALSE;;71.571;412;46.5;8.02;103.28;14;Pf00764;445;ENSG00000130707;"hsa:445; P00966; Q6LDL2; Q86UZ0; Q96GT4";"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Metabolic pathways; Biosynthesis of amino acids; Fluid shear stress and atherosclerosis";"Alanine and aspartate metabolism; Amino acid metabolism";Urea cycle;8;0;3.069;1.62
CFAP210;0.314647378;;;;0.125862069;3260;FALSE;High;Master Protein;O00425;Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2;17;10;8;5;IGF2BP3;0;FALSE;;32.379;579;63.7;8.87;26.99;8;Pf00013, Pf00076;10643;ENSG00000136231;"A0A4Z5; hsa:10643; O00425; Q63HM0; Q6MZZ2; Q86VB1";;;Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA;1;3;2.983;1.58
LEKR1;0.30075188;0.142623395;-1.207344396;;;5491;FALSE;High;Master Protein;P09936;Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2;32;26;7;7;UCHL1;0;FALSE;;63.095;223;24.8;5.48;81.78;7;Pf01088;7345;ENSG00000154277;"hsa:7345; P09936; Q4W5K6; Q71UM0";"Parkinson disease; Pathways of neurodegeneration";"Proteasome degradation; Parkinson's disease pathway; Hepatitis C and hepatocellular carcinoma";UCH proteinases;6;0;2.845;1.51
TRDN;0.298630137;;-0.353238553;;;;FALSE;High;Master Protein;P35527;Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;49;34;21;20;KRT9;0;TRUE;;112.265;623;62;5.24;105.19;21;Pf00038;3857;ENSG00000171403;"hsa:3857; O00109; P35527; Q0IJ47; Q14665";"Estrogen signaling pathway; Staphylococcus aureus infection";;Formation of the cornified envelope;4;0;2.689;1.43
CCDC122;0.281021898;0.76634243;0.273967226;;;11844;FALSE;High;Master Protein;O15231;Zinc finger protein 185 OS=Homo sapiens OX=9606 GN=ZNF185 PE=1 SV=3;7;2;2;2;ZNF185;0;FALSE;;4.794;689;73.5;7.01;5.72;2;;7739;ENSG00000147394;"A4FTV3; A6NME5; B4DLE9; B7Z771; B8K2L9; B8K2M0; B8K2M1; B8K2M2; E9PFR6; F5GXF7; F5GZL4; F8W8V7; H0Y4M8; hsa:7739; O00345; O15231; Q8N1R8; Q9NSD2";;;;0;0;2.672;1.42
SYCP1;0.278403275;;;;;;FALSE;High;None;P48668;Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3;12;24;9;1;KRT6C;0;TRUE;;37.728;564;60;8;66.14;9;Pf00038, Pf16208;286887;ENSG00000170465;"A1L4L5; hsa:286887; P48666; P48668; Q2TAZ9; Q7RTN9";;;Formation of the cornified envelope;2;0;2.652;1.41
TBCA;0.275229358;0.804186694;0.061714677;;;;FALSE;High;None;P02538;Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3;12;24;9;1;KRT6A;0;TRUE;;37.728;564;60;8;66.14;9;Pf00038, Pf16208;3853;ENSG00000205420;"A4QPC1; hsa:3853; P02538; P48667; Q08AR4; Q6NT67; Q96CL4";;"Ectoderm differentiation; Ectoderm differentiation";Formation of the cornified envelope;4;0;2.652;1.41
POLR3G;0.272321429;0.000940166;1.089623885;;;;FALSE;High;Master Protein;P04259;Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5;13;25;10;1;KRT6B;0;TRUE;;41.441;564;60;8;69.36;10;Pf00038, Pf16208;3854;ENSG00000185479;"hsa:3854; P04259; P48669";;;Formation of the cornified envelope;2;0;2.652;1.41
CCDC172;0.266409266;;;;0.122905028;3548;FALSE;High;Master Protein;Q9Y6U3;Adseverin OS=Homo sapiens OX=9606 GN=SCIN PE=1 SV=4;15;9;8;8;SCIN;0;FALSE;;28.059;715;80.4;5.71;21.63;8;Pf00626;85477;ENSG00000006747;"A8K2U8; hsa:85477; Q8NBZ6; Q8WU97; Q96JC7; Q96PY2; Q9Y6U3";"Fc gamma R-mediated phagocytosis; Regulation of actin cytoskeleton; Viral carcinogenesis";"Ebola virus infection in host; Endochondral ossification; Endochondral ossification with skeletal dysplasias";;6;0;2.418;1.27
CEP83;0.266381766;0.9181627;-0.093658542;;;;FALSE;High;None;142;142;15;36;9;3;Krt7;0;TRUE;;40.975;457;50.7;5.87;88.96;9;Pf00038, Pf16208;"110310; 300242";ENSMUSG00000023039;"mmu:110310; Q6IG12; Q9DCV7";;EGFR1 signaling pathway;"Formation of the cornified envelope; Formation of the cornified envelope";5;0;2.396;1.26
